"PatternId_decimal",description,"killchain_stage",name,objective,"pattern_updated",scenario,scenarioFriendly,severity,"show_in_ui",tactic,technique
0,"A process wrote an artifact indicative of reflective code loading",,"Reflective code loading","Keep Access","1698431229.0",,,0,False,"Defense Evasion","Reflective Code Loading"
1,"Productivity app wrote an executable to the filesystem",Exploitation,ProductivityAppExecutableWrite,"Gain Access","1698429517.0","malicious_document","Malicious document",10,False,"Initial Access","Spearphishing Attachment"
2,"Productivity app launched an executable",Exploitation,ProductivityAppExecutableLaunch,"Gain Access","1698430764.0","malicious_document","Malicious document",10,False,"Initial Access","Spearphishing Attachment"
3,"A productivity application launched in its own parent chain. Adversaries can use this to gain access to a system. Review the process tree.",Exploitation,ProductivityAppLaunchFromParent,"Gain Access","1698429517.0","malicious_document","Malicious document",10,False,"Initial Access","Spearphishing Attachment"
4,"Productivity app or one of its children wrote a registry key used for persistence",Exploitation,ProductivityAppAsepWrite,"Keep Access","1698429517.0","malicious_document","Malicious document",30,False,Persistence,"Registry Run Keys / Startup Folder"
5,"Command prompt in process subtree beneath a productivity application",Exploitation,ProductivityAppCmdLaunch,"Follow Through","1698430764.0","malicious_document","Malicious document",50,False,Execution,"Command and Scripting Interpreter"
6,"Browser renderer process wrote an executable to the filesystem",Exploitation,BrowserExecutableWrite,"Gain Access","1698429517.0","drive_by_download","Web exploit",50,False,"Initial Access","Drive-by Compromise"
7,"Remote thread injection from Chrome renderer process",Exploitation,ChromeInjectedThread,"Keep Access","1698430764.0","drive_by_download","Web exploit",50,False,"Defense Evasion","Process Injection"
8,"Browser renderer wrote a registry key used for persistence",Exploitation,BrowserRegWrite,"Keep Access","1698429517.0","drive_by_download","Web exploit",50,False,Persistence,"Registry Run Keys / Startup Folder"
9,"A web browser opened a command line interface. Adversaries often use this to execute malicious code. Review the process tree.",Exploitation,BrowserCmdLaunch,"Follow Through","1698430764.0","drive_by_download","Web exploit",50,False,Execution,"Exploitation for Client Execution"
10,"Known malware was executed.",Unknown,deprecated,,"1698430764.0","known_malware","Known malware",50,True,,
11,"Remote thread injection from IE renderer process",Exploitation,IEInjectedThread,"Keep Access","1698430764.0","drive_by_download","Web exploit",50,False,"Defense Evasion","Process Injection"
12,"A remote thread in LSASS accessed credential registry keys.","Lateral motion",LsassInjectedRegAccess,"Gain Access","1698429517.0","credential_theft","Credential theft",70,True,"Credential Access","OS Credential Dumping"
13,"A productivity application wrote and ran an executable.",Exploitation,ProductivityAppWriteExecute,"Follow Through","1698430764.0","malicious_document","Malicious document",50,False,Execution,"Exploitation for Client Execution"
14,"Lsass loaded an unsigned DLL. Adversaries often use this to steal credentials. If credentials were dumped, change your passwords and review the process tree.","Lateral motion",LsassLoadModuleUnsigned,"Gain Access","1698430764.0","credential_theft","Credential theft",70,False,"Credential Access","OS Credential Dumping"
15,"An unsigned process obtained a handle to lsass. Adversaries often use this to steal credentials. If credentials were dumped, change your passwords and review the process tree.","Lateral motion",RemoteOpenLsassUnsigned,"Gain Access","1698429517.0","credential_theft","Credential theft",70,False,"Credential Access","OS Credential Dumping"
16,"The security for credential registry keys was modified.","Lateral motion",RegCredentialSecurityModified,"Gain Access","1698429517.0","credential_theft","Credential theft",70,True,"Credential Access","Credentials in Registry"
17,"Command prompt in subtree beneath a browser process",Exploitation,BrowserCmdSubtreeLaunch,"Follow Through","1698429517.0","drive_by_download","Web exploit",10,False,Execution,"Command and Scripting Interpreter"
18,DEPRECATED,Unknown,,,"1698430764.0","suspicious_activity","Suspicious activity",1,False,,
19,"A registry key used for persistence was written from a network-capable process",Unknown,NetworkCapableAsepWrite,"Keep Access","1698429517.0","suspicious_activity","Suspicious activity",10,False,Persistence,"Registry Run Keys / Startup Folder"
20,"A process wrote an executable file and created or modified a service",Unknown,ExeWrittenAndServiceModified,"Keep Access","1698430764.0","suspicious_activity","Suspicious activity",10,False,Persistence,"Windows Service"
21,DEPRECATED,"Lateral motion",,,"1698430764.0","credential_theft","Credential theft",1,False,,
22,DEPRECATED,Exploitation,,,"1698429517.0","drive_by_download","Web exploit",1,False,,
23,"An executable had a suspicious or misleading filename",Exploitation,deprecated,,"1698430764.0","social_engineering","Social engineering",50,False,,
24,"Falcon Overwatch has identified suspicious activity. This has been raised for your awareness and should be investigated as normal.",Unknown,OverWatchAlertSuspicious,"Falcon Detection Method","1698429517.0","overwatch_detection","Falcon Overwatch detection",50,True,"Falcon Overwatch","Suspicious Activity"
25,"Falcon Overwatch has identified malicious activity. This has been raised for immediate action and should be investigated urgently.",Unknown,OverWatchAlertMalicious,"Falcon Detection Method","1698430764.0","overwatch_detection","Falcon Overwatch detection",70,True,"Falcon Overwatch","Malicious Activity"
26,"Falcon Overwatch has identified malicious activity carried out by a suspected or known nation-state adversary. This has been raised for immediate action and should be investigated immediately.",Unknown,OverWatchAlertAdversary,"Falcon Detection Method","1698429517.0","overwatch_detection","Falcon Overwatch detection",90,True,"Falcon Overwatch","Malicious Activity"
27,"A browser created a process via shellcode.",Exploitation,BrowserShellcodeCreateThread,"Follow Through","1698429517.0","drive_by_download","Web exploit",50,True,Execution,"Exploitation for Client Execution"
28,"A browser created a process via shellcode.",Exploitation,BrowserShellcodeStackPivot,"Follow Through","1698430764.0","drive_by_download","Web exploit",50,True,Execution,"Exploitation for Client Execution"
29,"A browser created a process via shellcode.",Exploitation,BrowserShellcodeExecutableStackPivot,"Follow Through","1698430764.0","drive_by_download","Web exploit",50,True,Execution,"Exploitation for Client Execution"
30,"A process loaded a restricted credential module.","Lateral motion",CredentialModuleLoadSuspicious,"Gain Access","1698429517.0","credential_theft","Credential theft",70,True,"Credential Access","OS Credential Dumping"
31,"User hashes from SAM hive accessed","Lateral motion",HashDumpSAM,"Gain Access","1698430764.0","credential_theft","Credential theft",70,False,"Credential Access","OS Credential Dumping"
32,"A productivity app launched a process from an executable stack.",Exploitation,SpearPhishExecutableStack,"Follow Through","1698429517.0","malicious_document","Malicious document",50,True,Execution,"Exploitation for Client Execution"
33,"Productivity app injected a thread into another process",Unknown,ProductivityAppInjectedThread,"Gain Access","1698430764.0","suspicious_activity","Suspicious activity",50,False,"Privilege Escalation","Dynamic-link Library Injection"
34,"Java injected a thread into another process",Unknown,JavaInjectedThread,"Gain Access","1698429517.0","suspicious_activity","Suspicious activity",50,False,"Privilege Escalation","Dynamic-link Library Injection"
35,"A thread was injected into LSASS.","Lateral motion",LsassInjectedThread,"Gain Access","1698429517.0","credential_theft","Credential theft",70,True,"Credential Access","OS Credential Dumping"
36,"A DLL was injected into LSASS.","Lateral motion",LsassDllInjection,"Gain Access","1698430764.0","credential_theft","Credential theft",50,True,"Credential Access","OS Credential Dumping"
37,"An IIS worker process spawned a command prompt. This is anomalous behavior and often indicative of an exploit or webshell.",Unknown,IISLaunchCmd,"Gain Access","1698429517.0","suspicious_activity","Suspicious activity",70,False,"Initial Access","Exploit Public-Facing Application"
38,"A process indirectly stole a privileged security token via DLL injection.",Installation,ActiveIndirectPrivilegeEscalation,"Gain Access","1698430764.0","privilege_escalation","Privilege escalation",70,False,"Privilege Escalation","Process Injection"
39,"The security registry hive was read using raw disk access.","Lateral motion",RawReadOnSecurityHive,"Gain Access","1698430764.0","credential_theft","Credential theft",70,True,"Credential Access","Credentials in Registry"
40,"The Windows Security Account Manager (SAM) registry hive was read using raw disk access.","Lateral motion",RawReadOnSAMHive,"Gain Access","1698429517.0","credential_theft","Credential theft",70,True,"Credential Access","Credentials in Registry"
41,"Firefox wrote a new add-on installer with suspicious characteristics to the file system",Exploitation,FirefoxInstallManifest,"Follow Through","1698430764.0","drive_by_download","Web exploit",10,False,Execution,"Software Deployment Tools"
42,"A Firefox browser opened a command line interface. Adversaries often use this to execute malicious code. Review the process tree.",Exploitation,FirefoxLaunchCmd,"Follow Through","1698429517.0","drive_by_download","Web exploit",30,False,Execution,"Command and Scripting Interpreter"
43,"Metasploit's meterpreter server may have been loaded into a process.",Unknown,MeterpreterServerLoad,"Keep Access","1698430764.0","known_malware","Known malware",50,True,"Defense Evasion","Process Injection"
44,"System call made by a browser via shellcode or ROP",Exploitation,,,"1698429517.0","drive_by_download","Web exploit",50,False,,
45,"An image was loaded by a browser from an unusual location",Exploitation,,,"1698430764.0","drive_by_download","Web exploit",50,False,,
46,"A process chain bypassed Windows logon security.",Installation,WindowsLogonBypass,"Keep Access","1698429517.0","privilege_escalation","Privilege escalation",80,True,Persistence,"Accessibility Features"
47,"A process has created a memory dump of LSASS","Lateral motion",LsassProcdump,"Gain Access","1698429517.0","credential_theft","Credential theft",70,False,"Credential Access","OS Credential Dumping"
48,"An IIS worker process opened an administrative/reconnaissance tool. Adversaries sometimes use this to gain access to a system. Review the process tree.",Unknown,IISAdminReconTool,"Gain Access","1698430764.0","suspicious_activity","Suspicious activity",30,False,"Initial Access","Exploit Public-Facing Application"
49,"An ASLR bypass attempt was blocked.",Exploitation,ASLRBypassAttempt,"Falcon Detection Method","1698430764.0","blocked_exploit","Blocked Exploit",70,True,Exploit,"Exploit Mitigation"
50,DEPRECATED,Unknown,,,"1698429517.0","known_malware","Known malware",1,False,,
51,"LSASS process accessed from a signed executable with untrusted root authority","Lateral motion",LsassAccessFromUntrusted,"Gain Access","1698430764.0","credential_theft","Credential theft",70,False,"Credential Access","OS Credential Dumping"
52,"The LSASS process was accessed from the mimikatz hack tool.","Lateral motion",LsassAccessFromMimikatz,"Gain Access","1698429517.0","credential_theft","Credential theft",70,True,"Credential Access","OS Credential Dumping"
